target,Id
1,0
0,1
0,2
0,3
1,4
0,5
0,6
0,7
0,8
0,9
1,10
0,11
0,12
0,13
0,14
0,15
1,16
1,17
1,18
1,19
1,20
1,21
1,22
1,23
1,24
0,25
0,26
0,27
0,28
0,29
0,30
1,31
1,32
0,33
0,34
0,35
1,36
0,37
0,38
1,39
0,40
0,41
0,42
0,43
1,44
0,45
1,46
1,47
0,48
1,49
0,50
1,51
0,52
0,53
0,54
0,55
1,56
1,57
0,58
0,59
1,60
1,61
1,62
0,63
1,64
1,65
1,66
0,67
0,68
0,69
0,70
0,71
0,72
1,73
1,74
0,75
0,76
0,77
0,78
0,79
0,80
1,81
0,82
0,83
0,84
0,85
0,86
1,87
0,88
1,89
0,90
0,91
1,92
0,93
1,94
1,95
1,96
0,97
1,98
1,99
1,100
0,101
1,102
0,103
0,104
0,105
1,106
0,107
0,108
0,109
0,110
1,111
0,112
0,113
0,114
1,115
1,116
1,117
1,118
0,119
1,120
1,121
1,122
1,123
0,124
1,125
0,126
0,127
0,128
1,129
0,130
0,131
0,132
0,133
0,134
0,135
1,136
1,137
1,138
0,139
0,140
0,141
0,142
0,143
0,144
0,145
1,146
1,147
0,148
0,149
0,150
1,151
1,152
0,153
0,154
1,155
1,156
0,157
1,158
0,159
0,160
0,161
0,162
1,163
0,164
1,165
1,166
1,167
0,168
1,169
0,170
0,171
0,172
0,173
1,174
0,175
0,176
1,177
0,178
1,179
0,180
0,181
1,182
0,183
0,184
1,185
0,186
1,187
0,188
0,189
0,190
0,191
1,192
0,193
0,194
1,195
0,196
0,197
1,198
0,199
0,200
0,201
0,202
1,203
0,204
0,205
0,206
0,207
0,208
0,209
1,210
1,211
0,212
1,213
0,214
0,215
1,216
0,217
0,218
0,219
0,220
0,221
1,222
1,223
1,224
0,225
0,226
0,227
1,228
0,229
1,230
1,231
0,232
1,233
0,234
0,235
1,236
1,237
1,238
0,239
1,240
0,241
0,242
0,243
1,244
1,245
0,246
1,247
1,248
